date,underlying,expiry,strike,option_type,quantity,position_type,avg_entry_price,status
2024-04-22,NIFTY,2024-04-25 00:00:00,22300.0,CE,50,Long,118.1,Active
2024-04-22,NIFTY,2024-04-25 00:00:00,22500.0,CE,-50,Short,39.15,Active
2024-04-23,NIFTY,2024-04-25 00:00:00,22300.0,CE,50,Long,118.1,Active
2024-04-23,NIFTY,2024-04-25 00:00:00,22500.0,CE,-50,Short,39.15,Active
2024-04-24,NIFTY,2024-04-25 00:00:00,22300.0,CE,50,Long,118.1,Active
2024-04-24,NIFTY,2024-04-25 00:00:00,22500.0,CE,-50,Short,39.15,Active
2024-04-25,NIFTY,2024-04-25 00:00:00,22300.0,CE,50,Long,118.1,Closed
2024-04-25,NIFTY,2024-04-25 00:00:00,22500.0,CE,-50,Short,39.15,Closed
2024-04-29,NIFTY,2024-05-02 00:00:00,22450.0,PE,25,Long,39.55,Active
2024-04-29,NIFTY,2024-05-02 00:00:00,22650.0,PE,-25,Short,94.1,Active
2024-04-30,NIFTY,2024-05-02 00:00:00,22450.0,PE,25,Long,39.55,Active
2024-04-30,NIFTY,2024-05-02 00:00:00,22650.0,PE,-25,Short,94.1,Active
2024-04-30,NIFTY,2024-05-02 00:00:00,22750.0,CE,-25,Short,81.8,Active
2024-04-30,NIFTY,2024-05-02 00:00:00,22950.0,CE,25,Long,15.6,Active
2024-05-01,NIFTY,2024-05-02 00:00:00,22450.0,PE,25,Long,39.55,Active
2024-05-01,NIFTY,2024-05-02 00:00:00,22650.0,PE,-25,Short,94.1,Active
2024-05-01,NIFTY,2024-05-02 00:00:00,22750.0,CE,-25,Short,81.8,Active
2024-05-01,NIFTY,2024-05-02 00:00:00,22950.0,CE,25,Long,15.6,Active
2024-05-02,NIFTY,2024-05-02 00:00:00,22450.0,PE,25,Long,39.55,Closed
2024-05-02,NIFTY,2024-05-02 00:00:00,22650.0,PE,-25,Short,94.1,Closed
2024-05-02,NIFTY,2024-05-02 00:00:00,22750.0,CE,-25,Short,81.8,Closed
2024-05-02,NIFTY,2024-05-02 00:00:00,22950.0,CE,25,Long,15.6,Closed
2024-05-03,NIFTY,2024-05-09 00:00:00,22200.0,PE,25,Long,65.35,Active
2024-05-03,NIFTY,2024-05-09 00:00:00,22400.0,PE,-25,Short,132.4,Active
2024-05-03,NIFTY,2024-05-09 00:00:00,22600.0,CE,-25,Short,98.55,Active
2024-05-03,NIFTY,2024-05-09 00:00:00,22800.0,CE,25,Long,41.1,Active
2024-05-06,NIFTY,2024-05-09 00:00:00,22200.0,PE,25,Long,65.35,Closed
2024-05-06,NIFTY,2024-05-09 00:00:00,22400.0,PE,-25,Short,132.4,Closed
2024-05-06,NIFTY,2024-05-09 00:00:00,22600.0,CE,-25,Short,98.55,Closed
2024-05-06,NIFTY,2024-05-09 00:00:00,22800.0,CE,25,Long,41.1,Closed
2024-05-16,NIFTY,2024-05-16 00:00:00,22400.0,CE,25,Long,3.8,Closed
2024-05-17,NIFTY,2024-05-30 00:00:00,22450.0,CE,25,Long,249.7,Active
2024-05-17,NIFTY,2024-05-30 00:00:00,22800.0,CE,-25,Short,93.25,Active
2024-05-20,NIFTY,2024-05-30 00:00:00,22450.0,CE,25,Long,249.7,Active
2024-05-20,NIFTY,2024-05-30 00:00:00,22800.0,CE,-25,Short,93.25,Active
2024-05-21,NIFTY,2024-05-30 00:00:00,22450.0,CE,25,Long,249.7,Active
2024-05-21,NIFTY,2024-05-30 00:00:00,22800.0,CE,-25,Short,93.25,Active
2024-05-22,NIFTY,2024-05-30 00:00:00,22450.0,CE,25,Long,249.7,Active
2024-05-22,NIFTY,2024-05-30 00:00:00,22800.0,CE,-25,Short,93.25,Active
