symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time,expiry_date
NIFTY24APR22300CE,,22-04-2024,NSE,FO,,buy,FALSE,50,118.1,72821968,1100000064922631,2024-04-22T14:09:26,25-04-2024
NIFTY24APR22500CE,,22-04-2024,NSE,FO,,sell,FALSE,50,39.15,72821989,1100000064923056,2024-04-22T14:09:26,25-04-2024
NIFTY24APR22500CE,,25-04-2024,NSE,FO,,buy,FALSE,50,34.5,82220871,1100000164314221,2024-04-25T13:32:58,25-04-2024
NIFTY24APR22300CE,,25-04-2024,NSE,FO,,sell,FALSE,50,160,82267243,1100000164438893,2024-04-25T13:33:42,25-04-2024
NIFTY2450222450PE,,29-04-2024,NSE,FO,,buy,FALSE,25,39.55,723094791,2000000062680836,2024-04-29T14:24:37,02-05-2024
NIFTY2450222650PE,,29-04-2024,NSE,FO,,sell,FALSE,25,94.1,723094829,2000000062681950,2024-04-29T14:24:38,02-05-2024
NIFTY2450222750CE,,30-04-2024,NSE,FO,,sell,FALSE,25,81.8,72536031,1100000032490978,2024-04-30T11:20:32,02-05-2024
NIFTY2450222950CE,,30-04-2024,NSE,FO,,buy,FALSE,25,15.6,72536004,1100000032490029,2024-04-30T11:20:32,02-05-2024
NIFTY2450222650PE,,02-05-2024,NSE,FO,,buy,FALSE,25,2.75,749289661,2000000215600880,2024-05-02T15:19:01,02-05-2024
NIFTY2450222750CE,,02-05-2024,NSE,FO,,buy,FALSE,25,0.15,96349838,1100000209624823,2024-05-02T15:19:01,02-05-2024
NIFTY2450222950CE,,02-05-2024,NSE,FO,,sell,FALSE,25,0.05,96349867,1100000209625062,2024-05-02T15:19:01,02-05-2024
NIFTY2450222450PE,,02-05-2024,NSE,FO,,sell,FALSE,25,0.05,749289795,2000000215601455,2024-05-02T15:19:02,02-05-2024
NIFTY2450922200PE,,03-05-2024,NSE,FO,,buy,FALSE,25,65.35,724738195,2000000108119829,2024-05-03T14:26:04,09-05-2024
NIFTY2450922400PE,,03-05-2024,NSE,FO,,sell,FALSE,25,132.4,724738232,2000000108120647,2024-05-03T14:26:04,09-05-2024
NIFTY2450922600CE,,03-05-2024,NSE,FO,,sell,FALSE,25,98.55,5279284,1000000103444990,2024-05-03T15:26:18,09-05-2024
NIFTY2450922800CE,,03-05-2024,NSE,FO,,buy,FALSE,25,41.1,5279257,1000000103444601,2024-05-03T15:26:18,09-05-2024
NIFTY2450922600CE,,06-05-2024,NSE,FO,,buy,FALSE,25,106,1678819,1000000034115946,2024-05-06T10:44:44,09-05-2024
NIFTY2450922800CE,,06-05-2024,NSE,FO,,sell,FALSE,25,40,1679775,1000000034139933,2024-05-06T10:44:51,09-05-2024
NIFTY2450922400PE,,06-05-2024,NSE,FO,,buy,FALSE,25,78.15,721738412,2000000040398049,2024-05-06T10:45:31,09-05-2024
NIFTY2450922200PE,,06-05-2024,NSE,FO,,sell,FALSE,25,32.5,721738935,2000000040421526,2024-05-06T10:45:36,09-05-2024
NIFTY2451622400CE,,16-05-2024,NSE,FO,,buy,FALSE,25,3.8,32937993,1000000281534211,2024-05-16T15:12:12,16-05-2024
NIFTY2451622400CE,,16-05-2024,NSE,FO,,sell,FALSE,25,5,36020446,1000000290851266,2024-05-16T15:26:30,16-05-2024
NIFTY24MAY22450CE,,17-05-2024,NSE,FO,,buy,FALSE,25,249.7,141253490,1200000059975816,2024-05-17T10:38:23,30-05-2024
NIFTY24MAY22800CE,,17-05-2024,NSE,FO,,sell,FALSE,25,93.25,141253529,1200000059977935,2024-05-17T10:38:23,30-05-2024
NIFTY24MAY22450CE,,27-05-2024,NSE,FO,,sell,FALSE,25,578.45,1053334,1000000023135232,2024-05-27T09:57:25,30-05-2024
NIFTY24MAY22800CE,,27-05-2024,NSE,FO,,buy,FALSE,25,282.15,1053323,1000000023134632,2024-05-27T09:57:25,30-05-2024
NIFTY24MAY22550PE,,28-05-2024,NSE,FO,,buy,FALSE,25,24.35,792524531,2100000038194129,2024-05-28T09:58:59,30-05-2024
NIFTY24MAY22700PE,,28-05-2024,NSE,FO,,sell,FALSE,25,44.25,792524571,2100000038195305,2024-05-28T09:58:59,30-05-2024
NIFTY24MAY23200CE,,28-05-2024,NSE,FO,,sell,FALSE,25,40.05,3188247,1000000039314439,2024-05-28T09:58:59,30-05-2024
NIFTY24MAY23350CE,,28-05-2024,NSE,FO,,buy,FALSE,25,16.65,72597400,1100000036146109,2024-05-28T09:58:59,30-05-2024
NIFTY24MAY23200CE,,29-05-2024,NSE,FO,,buy,FALSE,25,7.65,2015564,1000000031679404,2024-05-29T10:41:10,30-05-2024
NIFTY24MAY23350CE,,29-05-2024,NSE,FO,,sell,FALSE,25,4.15,71776177,1100000031542566,2024-05-29T10:41:10,30-05-2024
NIFTY24MAY22700PE,,30-05-2024,NSE,FO,,buy,FALSE,25,157.8,794002377,2100000050742374,2024-05-30T10:03:49,30-05-2024
NIFTY24MAY22550PE,,30-05-2024,NSE,FO,,sell,FALSE,25,25.9,801321657,2100000148273388,2024-05-30T12:48:47,30-05-2024
NIFTY2460624000CE,,03-06-2024,NSE,FO,,sell,FALSE,25,78.95,3600822,1000000083489390,2024-06-03T12:22:59,06-06-2024
NIFTY2460624000CE,,05-06-2024,NSE,FO,,buy,FALSE,25,2,5113696,1000000081471851,2024-06-05T11:03:57,06-06-2024
NIFTY2461323200PE,,10-06-2024,NSE,FO,,sell,FALSE,25,111.15,724636505,2000000135422635,2024-06-10T14:10:02,13-06-2024
NIFTY2461323500CE,,10-06-2024,NSE,FO,,sell,FALSE,25,102.6,75038063,1100000135394006,2024-06-10T14:10:02,13-06-2024
NIFTY2461323200PE,,13-06-2024,NSE,FO,,buy,FALSE,25,3.65,729459459,2000000110335244,2024-06-13T11:50:39,13-06-2024
NIFTY2461323500CE,,13-06-2024,NSE,FO,,buy,FALSE,25,7.7,77717530,1100000108640449,2024-06-13T11:50:39,13-06-2024
NIFTY2462023450PE,,18-06-2024,NSE,FO,,sell,FALSE,25,48.35,724461652,2000000048728552,2024-06-18T10:17:51,20-06-2024
NIFTY2462023650CE,,19-06-2024,NSE,FO,,sell,FALSE,25,21.55,2450942,1000000047235771,2024-06-19T10:45:22,20-06-2024
NIFTY2462023450PE,,20-06-2024,NSE,FO,,buy,FALSE,25,5.35,732505326,2000000173344497,2024-06-20T13:11:21,20-06-2024
NIFTY2462023650CE,,20-06-2024,NSE,FO,,buy,FALSE,25,8.3,12628292,1000000181547307,2024-06-20T13:11:21,20-06-2024
NIFTY24JUN23600CE,,21-06-2024,NSE,FO,,sell,FALSE,25,74.75,4720047,1000000135162556,2024-06-21T14:26:24,27-06-2024
NIFTY24JUN23600CE,,24-06-2024,NSE,FO,,buy,FALSE,25,88.8,6467309,1000000173673422,2024-06-24T15:22:27,27-06-2024
NIFTY24JUN23350PE,,24-06-2024,NSE,FO,,sell,FALSE,25,49.55,795519945,2100000154720176,2024-06-24T15:27:05,27-06-2024
NIFTY24JUN23650CE,,24-06-2024,NSE,FO,,sell,FALSE,25,70.6,6577022,1000000174718794,2024-06-24T15:27:06,27-06-2024
NIFTY2470423700CE,,25-06-2024,NSE,FO,,buy,FALSE,25,227.9,140952141,1200000049096850,2024-06-25T15:18:13,04-07-2024
NIFTY24JUN23650CE,,26-06-2024,NSE,FO,,buy,FALSE,25,128.4,1257914,1000000032571890,2024-06-26T10:17:11,27-06-2024
NIFTY2470423700CE,,26-06-2024,NSE,FO,,sell,FALSE,25,302.8,140911835,1200000039654875,2024-06-26T12:55:33,04-07-2024
NIFTY2470423800PE,,28-06-2024,NSE,FO,,sell,FALSE,25,51.35,721291607,2000000040335443,2024-06-28T10:40:08,04-07-2024
NIFTY2470424400CE,,28-06-2024,NSE,FO,,sell,FALSE,25,45.95,4560488,1000000152452341,2024-06-28T14:52:17,04-07-2024
NIFTY2470423800PE,,04-07-2024,NSE,FO,,buy,FALSE,25,0.8,722745106,2000000029298267,2024-07-04T09:51:48,04-07-2024
NIFTY2470424400CE,,04-07-2024,NSE,FO,,buy,FALSE,25,49,3524931,1000000033778295,2024-07-04T09:51:48,04-07-2024
NIFTY2471124150PE,,05-07-2024,NSE,FO,,sell,FALSE,25,51.75,794203363,2100000122783042,2024-07-05T15:24:20,11-07-2024
NIFTY2471124500CE,,09-07-2024,NSE,FO,,sell,FALSE,25,41,73918470,1100000051227688,2024-07-09T10:28:13,11-07-2024
NIFTY2471124150PE,,11-07-2024,NSE,FO,,buy,FALSE,25,7.7,792529770,2100000027453972,2024-07-11T09:39:40,11-07-2024
NIFTY2471124500CE,,11-07-2024,NSE,FO,,buy,FALSE,25,4.8,72252373,1100000024922863,2024-07-11T09:39:40,11-07-2024
